Row ID,Order ID,fecha_venta,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,ciudad,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,temperatura_maxima,temperatura_minima,lluvia_mm,ventas_predichas_clima
20,CA-2011-143336,2011-08-27,1/09/2011,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,"0,2","16,011",30.1,20.3,1.1,201.56498036760388
21,CA-2011-143336,2011-08-27,1/09/2011,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,"0,2","7,384",30.1,20.3,1.1,201.56498036760388
24,US-2014-156909,2014-07-17,19/07/2014,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,"0,3","-1,0196",26.1,17.3,0.0,215.36923216960588
26,CA-2013-121755,2013-01-16,20/01/2013,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,"0,2","4,2224",22.5,15.9,10.7,239.16633012713956
27,CA-2013-121755,2013-01-16,20/01/2013,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,"11,7741",22.5,15.9,10.7,239.16633012713956
28,US-2012-150630,2012-09-17,21/09/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,"0,5","-1665,0522",24.6,12.1,0.0,189.6016507116605
29,US-2012-150630,2012-09-17,21/09/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,"0,7","-7,0532",24.6,12.1,0.0,189.6016507116605
30,US-2012-150630,2012-09-17,21/09/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,"0,2","15,525",24.6,12.1,0.0,189.6016507116605
31,US-2012-150630,2012-09-17,21/09/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,"0,2","1,1016",24.6,12.1,0.0,189.6016507116605
32,US-2012-150630,2012-09-17,21/09/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,"0,2","9,7092",24.6,12.1,0.0,189.6016507116605
33,US-2012-150630,2012-09-17,21/09/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,"0,7","-5,715",24.6,12.1,0.0,189.6016507116605
34,US-2012-150630,2012-09-17,21/09/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,"0,2","3,546",24.6,12.1,0.0,189.6016507116605
35,CA-2014-107727,2014-10-20,24/10/2014,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Staples,29.472,3,"0,2","9,9468",10.8,1.7,0.1,237.3407134913668
38,CA-2012-117415,2012-12-27,31/12/2012,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,"0,2","35,415",-16.0,-22.8,0.0,297.28390511159955
39,CA-2012-117415,2012-12-27,31/12/2012,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,"0,32","-46,9764",-16.0,-22.8,0.0,297.28390511159955
40,CA-2012-117415,2012-12-27,31/12/2012,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,"0,3","-15,147",-16.0,-22.8,0.0,297.28390511159955
41,CA-2012-117415,2012-12-27,31/12/2012,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,"0,2","41,7564",-16.0,-22.8,0.0,297.28390511159955
43,CA-2013-101343,2013-07-18,23/07/2013,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,"3,894",21.4,14.8,61.6,247.374147731919
54,CA-2013-105816,2013-12-12,18/12/2013,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,"6,2566",-4.0,-8.1,0.0,298.80916735324405
55,CA-2013-105816,2013-12-12,18/12/2013,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,"298,6855",-4.0,-8.1,0.0,298.80916735324405
63,CA-2012-135545,2012-11-24,30/11/2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,"6,1512",22.8,14.3,43.0,228.34119011943397
64,CA-2012-135545,2012-11-24,30/11/2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,"0,2","9,3612",22.8,14.3,43.0,228.34119011943397
65,CA-2012-135545,2012-11-24,30/11/2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,"68,9631",22.8,14.3,43.0,228.34119011943397
66,CA-2012-135545,2012-11-24,30/11/2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,"22,3328",22.8,14.3,43.0,228.34119011943397
67,US-2012-164175,2012-04-30,5/05/2012,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,"0,3","-15,2225",29.8,21.4,3.6,213.00695233280692
70,CA-2013-119823,2013-06-05,7/06/2013,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,"35,6636",18.8,11.3,0.0,236.82354956147768
71,CA-2013-106075,2013-09-19,24/09/2013,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,"0,2","1,731",23.7,10.5,0.0,185.70301231723965
76,US-2014-118038,2014-12-10,12/12/2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,"0,8","-1,9344",3.5,-3.8,0.0,262.5855894959214
77,US-2014-118038,2014-12-10,12/12/2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,"0,6","-5,8248",3.5,-3.8,0.0,262.5855894959214
78,US-2014-118038,2014-12-10,12/12/2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,"0,2","2,724",3.5,-3.8,0.0,262.5855894959214
79,US-2011-147606,2011-11-26,1/12/2011,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,"0,6","-14,475",1.7,-5.5,0.1,266.2107942001157
82,CA-2011-139451,2011-10-12,16/10/2011,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,"4,172",25.2,19.1,26.2,240.66053235659933
83,CA-2011-139451,2011-10-12,16/10/2011,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,"6,2031",25.2,19.1,26.2,240.66053235659933
85,US-2014-119662,2014-11-14,17/11/2014,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,"0,2","-48,9549",27.5,19.6,4.5,220.56855728066515
89,CA-2013-159695,2013-04-06,11/04/2013,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,"0,2","13,8572",3.7,-3.8,0.0,260.7474131203316
90,CA-2013-109806,2013-09-18,23/09/2013,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,"6,633",22.3,14.0,63.9,233.30927051565635
91,CA-2013-109806,2013-09-18,23/09/2013,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,"0,2","8,2782",22.3,14.0,63.9,233.30927051565635
92,CA-2013-109806,2013-09-18,23/09/2013,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,"3,1104",22.3,14.0,63.9,233.30927051565635
97,CA-2014-161018,2014-11-10,12/11/2014,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,"40,5426",14.5,4.1,0.0,221.57739725607092
98,CA-2014-157833,2014-06-18,21/06/2014,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,"0,2","17,9592",29.1,21.0,0.0,215.9407107313385
100,CA-2013-158568,2013-08-30,3/09/2013,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,"0,2","22,6184",31.7,21.5,0.0,195.84767787510063
101,CA-2013-158568,2013-08-30,3/09/2013,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,"0,2","-10,7973",31.7,21.5,0.0,195.84767787510063
102,CA-2013-158568,2013-08-30,3/09/2013,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,"0,8","-3,0396",31.7,21.5,0.0,195.84767787510063
111,CA-2014-146780,2014-12-26,31/12/2014,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,"10,9096",8.7,1.4,0.0,254.34690800545516
114,CA-2011-115259,2011-08-25,27/08/2011,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,"0,2","14,5348",20.0,10.4,8.6,220.04094484260017
115,CA-2011-115259,2011-08-25,27/08/2011,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,"0,2","1,652",20.0,10.4,8.6,220.04094484260017
116,CA-2011-115259,2011-08-25,27/08/2011,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,3,"0,2","7,4925",20.0,10.4,8.6,220.04094484260017
117,CA-2011-115259,2011-08-25,27/08/2011,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,"0,2","44,0316",20.0,10.4,8.6,220.04094484260017
118,CA-2012-110457,2012-03-02,6/03/2012,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,"165,3813",-6.6,-12.5,0.0,289.2367720033302
125,US-2011-152030,2011-12-26,28/12/2011,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,"0,3","-8,5794",-0.4,-5.3,0.0,287.02024874063375
129,US-2013-125969,2013-11-07,11/11/2013,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,"0,2","-9,1602",18.2,14.6,18.7,269.8147592333567
130,US-2013-125969,2013-11-07,11/11/2013,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,"26,2416",18.2,14.6,18.7,269.8147592333567
131,US-2014-164147,2014-02-03,6/02/2014,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,"0,4","-11,994",17.8,10.0,2.2,236.40538647314168
132,US-2014-164147,2014-02-03,6/02/2014,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,"0,2","29,364",17.8,10.0,2.2,236.40538647314168
133,US-2014-164147,2014-02-03,6/02/2014,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9,"0,2","6,9732",17.8,10.0,2.2,236.40538647314168
141,CA-2013-110366,2013-09-06,8/09/2013,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,"0,2","10,35",22.3,12.9,0.0,216.82589507323098
142,CA-2014-106180,2014-09-19,24/09/2014,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,3,0,"2,3814",28.2,20.2,13.2,219.8038749937982
143,CA-2014-106180,2014-09-19,24/09/2014,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0,"5,1042",28.2,20.2,13.2,219.8038749937982
144,CA-2014-106180,2014-09-19,24/09/2014,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7,3,0,"68,976",28.2,20.2,13.2,219.8038749937982
157,CA-2012-118948,2012-05-28,3/06/2012,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,OFF-AR-10001547,Office Supplies,Art,Newell 311,6.63,3,0,"1,7901",6.0,-0.9,2.9,262.0356339530016
158,CA-2011-104269,2011-03-01,6/03/2011,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,"0,2","51,4764",-24.1,-31.9,0.0,302.51071584196643
161,CA-2013-162733,2013-05-12,13/05/2013,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0,"2,691",22.5,13.8,50.6,228.26050210115469
162,CA-2012-119697,2012-12-28,31/12/2012,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,"0,2","1,3596",4.1,-1.9,0.0,271.5234484695849
164,CA-2013-113817,2013-11-08,12/11/2013,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,"0,2","9,688",-7.8,-13.1,0.0,295.70191822515346
172,CA-2011-118962,2011-08-05,9/08/2011,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,0,"9,8418",24.4,15.1,59.6,221.8294298389912
173,CA-2011-118962,2011-08-05,9/08/2011,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,110.96,2,0,"53,2608",24.4,15.1,59.6,221.8294298389912
174,CA-2011-118962,2011-08-05,9/08/2011,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144,7,"0,2","21,259",24.4,15.1,59.6,221.8294298389912
175,US-2011-100853,2011-09-14,19/09/2011,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,"0,8","-131,12",30.3,19.6,0.0,194.26252440379642
176,US-2011-100853,2011-09-14,19/09/2011,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,OFF-LA-10003148,Office Supplies,Labels,Avery 51,20.16,4,"0,2","6,552",30.3,19.6,0.0,194.26252440379642
177,US-2014-152366,2014-04-22,26/04/2014,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,"0,8","-243,16",7.7,-0.0,1.2,253.04107877436405
180,CA-2012-137225,2012-12-15,19/12/2012,Standard Class,JK-15640,Jim Kriz,Home Office,United States,New York City,New York,10009,East,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,0,"1,4104",7.4,-0.8,0.0,249.56071033049824
187,CA-2011-123260,2011-08-26,30/08/2011,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,90032,West,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,0,"22,984",23.8,13.9,38.1,215.48533094674215
190,CA-2012-102281,2012-10-12,14/10/2012,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,"0,2","112,392",12.8,6.4,0.0,254.69689257016103
191,CA-2012-102281,2012-10-12,14/10/2012,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,0,"20,0928",12.8,6.4,0.0,254.69689257016103
192,CA-2012-102281,2012-10-12,14/10/2012,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,51.84,8,0,"24,8832",12.8,6.4,0.0,254.69689257016103
193,CA-2012-102281,2012-10-12,14/10/2012,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,"0,2","46,9764",12.8,6.4,0.0,254.69689257016103
194,CA-2012-102281,2012-10-12,14/10/2012,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0,"6,567",12.8,6.4,0.0,254.69689257016103
199,US-2014-124303,2014-07-07,14/07/2014,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,"0,7","-2,2586",31.9,20.4,0.0,185.64232944136538
200,US-2014-124303,2014-07-07,14/07/2014,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,"0,2","5,8203",31.9,20.4,0.0,185.64232944136538
218,CA-2013-130162,2013-10-29,2/11/2013,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,90032,West,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6,0,"26,0568",21.2,14.0,55.1,242.30151617167166
219,CA-2013-130162,2013-10-29,2/11/2013,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302.376,3,"0,2","22,6782",21.2,14.0,55.1,242.30151617167166
238,CA-2013-157749,2013-06-05,10/06/2013,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,Central,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,25.92,5,"0,2","9,396",30.1,20.9,0.0,205.98917684810343
239,CA-2013-157749,2013-06-05,10/06/2013,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,Central,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,5,"0,6","-356,728",30.1,20.9,0.0,205.98917684810343
