Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
20;CA-2011-143336;27/08/2011;1/09/2011;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;213,48;3;0,2;16,011
21;CA-2011-143336;27/08/2011;1/09/2011;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";22,72;4;0,2;7,384
24;US-2014-156909;17/07/2014;19/07/2014;Second Class;SF-20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;71,372;2;0,3;-1,0196
26;CA-2013-121755;16/01/2013;20/01/2013;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use Binders;11,648;2;0,2;4,2224
27;CA-2013-121755;16/01/2013;20/01/2013;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90,57;3;0;11,7741
28;US-2012-150630;17/09/2012;21/09/2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083,43;7;0,5;-1665,0522
29;US-2012-150630;17/09/2012;21/09/2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9,618;2;0,7;-7,0532
30;US-2012-150630;17/09/2012;21/09/2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124,2;3;0,2;15,525
31;US-2012-150630;17/09/2012;21/09/2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;3,264;2;0,2;1,1016
32;US-2012-150630;17/09/2012;21/09/2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86,304;6;0,2;9,7092
33;US-2012-150630;17/09/2012;21/09/2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10001525;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6,858;6;0,7;-5,715
34;US-2012-150630;17/09/2012;21/09/2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10001683;Office Supplies;Art;Lumber Crayons;15,76;2;0,2;3,546
35;CA-2014-107727;20/10/2014;24/10/2014;Second Class;MA-17560;Matt Abelman;Home Office;United States;Houston;Texas;77095;Central;OFF-PA-10000249;Office Supplies;Paper;Staples;29,472;3;0,2;9,9468
38;CA-2012-117415;27/12/2012;31/12/2012;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;OFF-EN-10002986;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113,328;9;0,2;35,415
39;CA-2012-117415;27/12/2012;31/12/2012;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;532,3992;3;0,32;-46,9764
40;CA-2012-117415;27/12/2012;31/12/2012;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-CH-10004218;Furniture;Chairs;Global Fabric Manager's Chair, Dark Gray;212,058;3;0,3;-15,147
41;CA-2012-117415;27/12/2012;31/12/2012;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;TEC-PH-10000486;Technology;Phones;Plantronics HL10 Handset Lifter;371,168;4;0,2;41,7564
43;CA-2013-101343;18/07/2013;23/07/2013;Standard Class;RA-19885;Ruben Ausman;Corporate;United States;Los Angeles;California;90049;West;OFF-ST-10003479;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;77,88;2;0;3,894
54;CA-2013-105816;12/12/2013;18/12/2013;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;OFF-FA-10000304;Office Supplies;Fasteners;Advantus Push Pins;15,26;7;0;6,2566
55;CA-2013-105816;12/12/2013;18/12/2013;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;TEC-PH-10002447;Technology;Phones;AT&T CL83451 4-Handset Telephone;1029,95;5;0;298,6855
63;CA-2012-135545;24/11/2012;30/11/2012;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;TEC-AC-10004633;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13,98;2;0;6,1512
64;CA-2012-135545;24/11/2012;30/11/2012;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-BI-10001078;Office Supplies;Binders;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";25,824;6;0,2;9,3612
65;CA-2012-135545;24/11/2012;30/11/2012;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-PA-10003892;Office Supplies;Paper;Xerox 1943;146,73;3;0;68,9631
66;CA-2012-135545;24/11/2012;30/11/2012;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;FUR-FU-10000397;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;79,76;4;0;22,3328
67;US-2012-164175;30/04/2012;5/05/2012;Standard Class;PS-18970;Paul Stevenson;Home Office;United States;Chicago;Illinois;60610;Central;FUR-CH-10001146;Furniture;Chairs;Global Value Mid-Back Manager's Chair, Gray;213,115;5;0,3;-15,2225
70;CA-2013-119823;5/06/2013;7/06/2013;First Class;KD-16270;Karen Daniels;Consumer;United States;Springfield;Virginia;22153;South;OFF-PA-10000482;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75,88;2;0;35,6636
71;CA-2013-106075;19/09/2013;24/09/2013;Standard Class;HM-14980;Henry MacAllister;Consumer;United States;New York City;New York;10009;East;OFF-BI-10004654;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;4,616;1;0,2;1,731
76;US-2014-118038;10/12/2014;12/12/2014;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-BI-10004182;Office Supplies;Binders;Economy Binders;1,248;3;0,8;-1,9344
77;US-2014-118038;10/12/2014;12/12/2014;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;FUR-FU-10000260;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";9,708;3;0,6;-5,8248
78;US-2014-118038;10/12/2014;12/12/2014;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-ST-10000615;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27,24;3;0,2;2,724
79;US-2011-147606;26/11/2011;1/12/2011;Second Class;JE-15745;Joel Eaton;Consumer;United States;Houston;Texas;77070;Central;FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19,3;5;0,6;-14,475
82;CA-2011-139451;12/10/2011;16/10/2011;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-AR-10002053;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14,9;5;0;4,172
83;CA-2011-139451;12/10/2011;16/10/2011;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-ST-10002370;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;21,39;1;0;6,2031
85;US-2014-119662;14/11/2014;17/11/2014;First Class;CS-12400;Christopher Schild;Home Office;United States;Chicago;Illinois;60623;Central;OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;230,376;3;0,2;-48,9549
89;CA-2013-159695;6/04/2013;11/04/2013;Second Class;GM-14455;Gary Mitchum;Home Office;United States;Houston;Texas;77095;Central;OFF-ST-10003442;Office Supplies;Storage;Eldon Portable Mobile Manager;158,368;7;0,2;13,8572
90;CA-2013-109806;18/09/2013;23/09/2013;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-AR-10004930;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;20,1;3;0;6,633
91;CA-2013-109806;18/09/2013;23/09/2013;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;73,584;2;0,2;8,2782
92;CA-2013-109806;18/09/2013;23/09/2013;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-PA-10000304;Office Supplies;Paper;Xerox 1995;6,48;1;0;3,1104
97;CA-2014-161018;10/11/2014;12/11/2014;Second Class;PN-18775;Parhena Norris;Home Office;United States;New York City;New York;10009;East;FUR-FU-10000629;Furniture;Furnishings;9-3/4 Diameter Round Wall Clock;96,53;7;0;40,5426
98;CA-2014-157833;18/06/2014;21/06/2014;First Class;KD-16345;Katherine Ducich;Consumer;United States;San Francisco;California;94122;West;OFF-BI-10001721;Office Supplies;Binders;Trimflex Flexible Post Binders;51,312;3;0,2;17,9592
100;CA-2013-158568;30/08/2013;3/09/2013;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFF-PA-10003256;Office Supplies;Paper;Avery Personal Creations Heavyweight Cards;64,624;7;0,2;22,6184
101;CA-2013-158568;30/08/2013;3/09/2013;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;TEC-AC-10001767;Technology;Accessories;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95,976;3;0,2;-10,7973
102;CA-2013-158568;30/08/2013;3/09/2013;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFF-BI-10002609;Office Supplies;Binders;Avery Hidden Tab Dividers for Binding Systems;1,788;3;0,8;-3,0396
111;CA-2014-146780;26/12/2014;31/12/2014;Standard Class;CV-12805;Cynthia Voltz;Corporate;United States;New York City;New York;10035;East;FUR-FU-10001934;Furniture;Furnishings;Magnifier Swing Arm Lamp;41,96;2;0;10,9096
114;CA-2011-115259;25/08/2011;27/08/2011;Second Class;RC-19960;Ryan Crowe;Consumer;United States;Columbus;Ohio;43229;East;OFF-FA-10000621;Office Supplies;Fasteners;OIC Colored Binder Clips, Assorted Sizes;40,096;14;0,2;14,5348
115;CA-2011-115259;25/08/2011;27/08/2011;Second Class;RC-19960;Ryan Crowe;Consumer;United States;Columbus;Ohio;43229;East;OFF-EN-10002600;Office Supplies;Envelopes;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;4,72;2;0,2;1,652
116;CA-2011-115259;25/08/2011;27/08/2011;Second Class;RC-19960;Ryan Crowe;Consumer;United States;Columbus;Ohio;43229;East;OFF-PA-10004965;Office Supplies;Paper;Xerox 1921;23,976;3;0,2;7,4925
117;CA-2011-115259;25/08/2011;27/08/2011;Second Class;RC-19960;Ryan Crowe;Consumer;United States;Columbus;Ohio;43229;East;OFF-EN-10002504;Office Supplies;Envelopes;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;130,464;6;0,2;44,0316
118;CA-2012-110457;2/03/2012;6/03/2012;Standard Class;DK-13090;Dave Kipp;Consumer;United States;Seattle;Washington;98103;West;FUR-TA-10001768;Furniture;Tables;Hon Racetrack Conference Tables;787,53;3;0;165,3813
125;US-2011-152030;26/12/2011;28/12/2011;Second Class;AD-10180;Alan Dominguez;Home Office;United States;Houston;Texas;77041;Central;FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;600,558;3;0,3;-8,5794
129;US-2013-125969;7/11/2013;11/11/2013;Second Class;LS-16975;Lindsay Shagiari;Home Office;United States;Los Angeles;California;90004;West;FUR-CH-10001146;Furniture;Chairs;Global Task Chair, Black;81,424;2;0,2;-9,1602
130;US-2013-125969;7/11/2013;11/11/2013;Second Class;LS-16975;Lindsay Shagiari;Home Office;United States;Los Angeles;California;90004;West;FUR-FU-10003773;Furniture;Furnishings;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;238,56;3;0;26,2416
131;US-2014-164147;3/02/2014;6/02/2014;First Class;DW-13585;Dorothy Wardle;Corporate;United States;Columbus;Ohio;43229;East;TEC-PH-10002293;Technology;Phones;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;59,97;5;0,4;-11,994
132;US-2014-164147;3/02/2014;6/02/2014;First Class;DW-13585;Dorothy Wardle;Corporate;United States;Columbus;Ohio;43229;East;OFF-PA-10002377;Office Supplies;Paper;Xerox 1916;78,304;2;0,2;29,364
133;US-2014-164147;3/02/2014;6/02/2014;First Class;DW-13585;Dorothy Wardle;Corporate;United States;Columbus;Ohio;43229;East;OFF-FA-10002780;Office Supplies;Fasteners;Staples;21,456;9;0,2;6,9732
141;CA-2013-110366;6/09/2013;8/09/2013;Second Class;JD-15895;Jonathan Doherty;Corporate;United States;Philadelphia;Pennsylvania;19140;East;FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";82,8;2;0,2;10,35
142;CA-2014-106180;19/09/2014;24/09/2014;Standard Class;SH-19975;Sally Hughsby;Corporate;United States;San Francisco;California;94122;West;OFF-AR-10000940;Office Supplies;Art;Newell 343;8,82;3;0;2,3814
143;CA-2014-106180;19/09/2014;24/09/2014;Standard Class;SH-19975;Sally Hughsby;Corporate;United States;San Francisco;California;94122;West;OFF-EN-10004030;Office Supplies;Envelopes;Convenience Packs of Business Envelopes;10,86;3;0;5,1042
144;CA-2014-106180;19/09/2014;24/09/2014;Standard Class;SH-19975;Sally Hughsby;Corporate;United States;San Francisco;California;94122;West;OFF-PA-10004327;Office Supplies;Paper;Xerox 1911;143,7;3;0;68,976
157;CA-2012-118948;28/05/2012;3/06/2012;Standard Class;NK-18490;Neil Knudson;Home Office;United States;Seattle;Washington;98105;West;OFF-AR-10001547;Office Supplies;Art;Newell 311;6,63;3;0;1,7901
158;CA-2011-104269;1/03/2011;6/03/2011;Second Class;DB-13060;Dave Brooks;Consumer;United States;Seattle;Washington;98115;West;FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;457,568;2;0,2;51,4764
161;CA-2013-162733;12/05/2013;13/05/2013;First Class;TT-21070;Ted Trevino;Consumer;United States;Los Angeles;California;90045;West;OFF-PA-10002751;Office Supplies;Paper;Xerox 1920;5,98;1;0;2,691
162;CA-2012-119697;28/12/2012;31/12/2012;Second Class;EM-13960;Eric Murdock;Consumer;United States;Philadelphia;Pennsylvania;19134;East;TEC-AC-10003657;Technology;Accessories;Lenovo 17-Key USB Numeric Keypad;54,384;2;0,2;1,3596
164;CA-2013-113817;8/11/2013;12/11/2013;Standard Class;MJ-17740;Max Jones;Consumer;United States;Seattle;Washington;98115;West;OFF-BI-10004002;Office Supplies;Binders;Wilson Jones International Size A4 Ring Binders;27,68;2;0,2;9,688
172;CA-2011-118962;5/08/2011;9/08/2011;Standard Class;CS-12130;Chad Sievert;Consumer;United States;Los Angeles;California;90004;West;OFF-PA-10000659;Office Supplies;Paper;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”;20,94;3;0;9,8418
173;CA-2011-118962;5/08/2011;9/08/2011;Standard Class;CS-12130;Chad Sievert;Consumer;United States;Los Angeles;California;90004;West;OFF-PA-10001144;Office Supplies;Paper;Xerox 1913;110,96;2;0;53,2608
174;CA-2011-118962;5/08/2011;9/08/2011;Standard Class;CS-12130;Chad Sievert;Consumer;United States;Los Angeles;California;90004;West;FUR-CH-10003817;Furniture;Chairs;Global Value Steno Chair, Gray;340,144;7;0,2;21,259
175;US-2011-100853;14/09/2011;19/09/2011;Standard Class;JB-15400;Jennifer Braxton;Corporate;United States;Chicago;Illinois;60623;Central;OFF-AP-10000891;Office Supplies;Appliances;Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;52,448;2;0,8;-131,12
176;US-2011-100853;14/09/2011;19/09/2011;Standard Class;JB-15400;Jennifer Braxton;Corporate;United States;Chicago;Illinois;60623;Central;OFF-LA-10003148;Office Supplies;Labels;Avery 51;20,16;4;0,2;6,552
177;US-2014-152366;22/04/2014;26/04/2014;Second Class;SJ-20500;Shirley Jackson;Consumer;United States;Houston;Texas;77036;Central;OFF-AP-10002684;Office Supplies;Appliances;Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;97,264;4;0,8;-243,16
180;CA-2012-137225;15/12/2012;19/12/2012;Standard Class;JK-15640;Jim Kriz;Home Office;United States;New York City;New York;10009;East;OFF-AR-10001940;Office Supplies;Art;Sanford Colorific Eraseable Coloring Pencils, 12 Count;3,28;1;0;1,4104
187;CA-2011-123260;26/08/2011;30/08/2011;Standard Class;FM-14290;Frank Merwin;Home Office;United States;Los Angeles;California;90032;West;TEC-AC-10002323;Technology;Accessories;SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card;176,8;8;0;22,984
190;CA-2012-102281;12/10/2012;14/10/2012;First Class;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;FUR-BO-10002613;Furniture;Bookcases;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;899,136;4;0,2;112,392
191;CA-2012-102281;12/10/2012;14/10/2012;First Class;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;TEC-PH-10001552;Technology;Phones;I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink;71,76;6;0;20,0928
192;CA-2012-102281;12/10/2012;14/10/2012;First Class;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;OFF-PA-10000061;Office Supplies;Paper;Xerox 205;51,84;8;0;24,8832
193;CA-2012-102281;12/10/2012;14/10/2012;First Class;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;626,352;3;0,2;46,9764
194;CA-2012-102281;12/10/2012;14/10/2012;First Class;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;OFF-AR-10003514;Office Supplies;Art;4009 Highlighters by Sanford;19,9;5;0;6,567
199;US-2014-124303;7/07/2014;14/07/2014;Standard Class;FH-14365;Fred Hopkins;Corporate;United States;Philadelphia;Pennsylvania;19120;East;OFF-BI-10000343;Office Supplies;Binders;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";2,946;2;0,7;-2,2586
200;US-2014-124303;7/07/2014;14/07/2014;Standard Class;FH-14365;Fred Hopkins;Corporate;United States;Philadelphia;Pennsylvania;19120;East;OFF-PA-10002749;Office Supplies;Paper;Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page;16,056;3;0,2;5,8203
218;CA-2013-130162;29/10/2013;2/11/2013;Standard Class;JH-15910;Jonathan Howell;Consumer;United States;Los Angeles;California;90032;West;OFF-ST-10001328;Office Supplies;Storage;Personal Filing Tote with Lid, Black/Gray;93,06;6;0;26,0568
219;CA-2013-130162;29/10/2013;2/11/2013;Standard Class;JH-15910;Jonathan Howell;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002563;Technology;Phones;Adtran 1202752G1;302,376;3;0,2;22,6782
238;CA-2013-157749;5/06/2013;10/06/2013;Second Class;KL-16645;Ken Lonsdale;Consumer;United States;Chicago;Illinois;60610;Central;OFF-PA-10003349;Office Supplies;Paper;Xerox 1957;25,92;5;0,2;9,396
239;CA-2013-157749;5/06/2013;10/06/2013;Second Class;KL-16645;Ken Lonsdale;Consumer;United States;Chicago;Illinois;60610;Central;FUR-FU-10000576;Furniture;Furnishings;Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base;419,68;5;0,6;-356,728
240;CA-2013-157749;5/06/2013;10/06/2013;Second Class;KL-16645;Ken Lonsdale;Consumer;United States;Chicago;Illinois;60610;Central;FUR-FU-10004351;Furniture;Furnishings;Staples;11,688;3;0,6;-4,6752
241;CA-2013-157749;5/06/2013;10/06/2013;Second Class;KL-16645;Ken Lonsdale;Consumer;United States;Chicago;Illinois;60610;Central;TEC-PH-10000011;Technology;Phones;PureGear Roll-On Screen Protector;31,984;2;0,2;11,1944
242;CA-2013-157749;5/06/2013;10/06/2013;Second Class;KL-16645;Ken Lonsdale;Consumer;United States;Chicago;Illinois;60610;Central;FUR-TA-10002607;Furniture;Tables;KI Conference Tables;177,225;5;0,5;-120,513
243;CA-2013-157749;5/06/2013;10/06/2013;Second Class;KL-16645;Ken Lonsdale;Consumer;United States;Chicago;Illinois;60610;Central;FUR-FU-10002505;Furniture;Furnishings;Eldon 100 Class Desk Accessories;4,044;3;0,6;-2,8308
244;CA-2013-157749;5/06/2013;10/06/2013;Second Class;KL-16645;Ken Lonsdale;Consumer;United States;Chicago;Illinois;60610;Central;OFF-AR-10004685;Office Supplies;Art;Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set;7,408;2;0,2;1,2038
250;CA-2013-154739;11/12/2013;16/12/2013;Second Class;LH-17155;Logan Haushalter;Consumer;United States;San Francisco;California;94109;West;FUR-CH-10002965;Furniture;Chairs;Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black;321,568;2;0,2;28,1372
251;CA-2013-145625;12/09/2013;18/09/2013;Standard Class;KC-16540;Kelly Collister;Consumer;United States;San Diego;California;92037;West;OFF-PA-10004569;Office Supplies;Paper;"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page";7,61;1;0;3,5767
252;CA-2013-145625;12/09/2013;18/09/2013;Standard Class;KC-16540;Kelly Collister;Consumer;United States;San Diego;California;92037;West;TEC-AC-10003832;Technology;Accessories;Logitech P710e Mobile Speakerphone;3347,37;13;0;636,0003
253;CA-2013-146941;11/12/2013;14/12/2013;First Class;DL-13315;Delfina Latchford;Consumer;United States;New York City;New York;10024;East;OFF-ST-10001228;Office Supplies;Storage;Fellowes Personal Hanging Folder Files, Navy;80,58;6;0;22,5624
254;CA-2013-146941;11/12/2013;14/12/2013;First Class;DL-13315;Delfina Latchford;Consumer;United States;New York City;New York;10024;East;OFF-EN-10003296;Office Supplies;Envelopes;Tyvek Side-Opening Peel & Seel Expanding Envelopes;361,92;4;0;162,864
255;US-2012-159982;28/11/2012;4/12/2012;Standard Class;DR-12880;Dan Reichenbach;Corporate;United States;Chicago;Illinois;60623;Central;FUR-FU-10002505;Furniture;Furnishings;Eldon 100 Class Desk Accessories;12,132;9;0,6;-8,4924
256;US-2012-159982;28/11/2012;4/12/2012;Standard Class;DR-12880;Dan Reichenbach;Corporate;United States;Chicago;Illinois;60623;Central;OFF-ST-10004804;Office Supplies;Storage;"Belkin 19"" Vented Equipment Shelf, Black";82,368;2;0,2;-19,5624
257;US-2012-159982;28/11/2012;4/12/2012;Standard Class;DR-12880;Dan Reichenbach;Corporate;United States;Chicago;Illinois;60623;Central;OFF-ST-10001590;Office Supplies;Storage;Tenex Personal Project File with Scoop Front Design, Black;53,92;5;0,2;4,044
258;US-2012-159982;28/11/2012;4/12/2012;Standard Class;DR-12880;Dan Reichenbach;Corporate;United States;Chicago;Illinois;60623;Central;TEC-PH-10001580;Technology;Phones;Logitech Mobile Speakerphone P710e - speaker phone;647,904;6;0,2;56,6916
259;CA-2014-163139;2/12/2014;4/12/2014;Second Class;CC-12670;Craig Carreira;Consumer;United States;New York City;New York;10009;East;TEC-AC-10000290;Technology;Accessories;Sabrent 4-Port USB 2.0 Hub;20,37;3;0;6,9258
260;CA-2014-163139;2/12/2014;4/12/2014;Second Class;CC-12670;Craig Carreira;Consumer;United States;New York City;New York;10009;East;OFF-ST-10002790;Office Supplies;Storage;Safco Industrial Shelving;221,55;3;0;6,6465
261;CA-2014-163139;2/12/2014;4/12/2014;Second Class;CC-12670;Craig Carreira;Consumer;United States;New York City;New York;10009;East;OFF-BI-10003460;Office Supplies;Binders;Acco 3-Hole Punch;17,52;5;0,2;6,132
